,Unnamed: 0_our,Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep)_our,Whole Building:Facility Total Electricity Demand Rate [W](Hourly)_our,Site:Environmental Impact Total CO2 Emissions Carbon Equivalent Mass [kg](Hourly)_our,WEST ZONE:Zone Air Temperature [C](TimeStep)_our,EAST ZONE:Zone Air Temperature [C](TimeStep)_our,WEST ZONE DEC OUTLET NODE:System Node Setpoint Temperature [C](TimeStep)_our,EAST AIR LOOP OUTLET NODE:System Node Setpoint Temperature [C](TimeStep)_our,WEST ZONE SUPPLY FAN:Fan Air Mass Flow Rate [kg/s](Hourly)_our,EAST ZONE SUPPLY FAN:Fan Air Mass Flow Rate [kg/s](Hourly)_our,Unnamed: 0_easy,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep)_easy,Whole Building:Facility Total Electricity Demand Rate [W](Hourly)_easy,Site:Environmental Impact Total CO2 Emissions Carbon Equivalent Mass [kg](Hourly)_easy,WEST ZONE:Zone Air Temperature [C](TimeStep)_easy,EAST ZONE:Zone Air Temperature [C](TimeStep)_easy,WEST ZONE DEC OUTLET NODE:System Node Setpoint Temperature [C](TimeStep)_easy,EAST AIR LOOP OUTLET NODE:System Node Setpoint Temperature [C](TimeStep)_easy,WEST ZONE SUPPLY FAN:Fan Air Mass Flow Rate [kg/s](Hourly)_easy,EAST ZONE SUPPLY FAN:Fan Air Mass Flow Rate [kg/s](Hourly)_easy
0,0, 01/01  01:00:00,7.2,80084.11933,13.2343844,20.19441763,27.20651079,13.870208,21.611385,6.074455767,5.71280025,0,7.2,108964.9795,18.00712097,32.14142477,33.53287586,19.891821,19.275758,3.82577425,3.77280225
1,1, 01/01  02:00:00,7.2,84542.8758,13.97122084,22.66644075,24.87867274,22.069186,12.138605,5.857178775,5.57817775,1,7.2,114802.6202,18.97182635,32.12966663,33.52066305,20.132262,19.589606,3.52720375,3.43498175
2,2, 01/01  03:00:00,6.7,92557.73679,15.29572502,22.5836776,21.52072049,20.294016,10,5.889803258,5.7322665,2,6.7,119371.9416,19.72693432,32.57358858,33.97669429,19.871374,19.303795,3.490602,3.39055975
3,3, 01/01  04:00:00,6.1,84529.16219,13.96895458,25.25456176,22.95124737,19.723627,16.387936,5.732396775,5.6456015,3,6.1,117073.4557,19.34709563,32.51370507,34.11306226,19.903199,19.274378,3.48076225,3.37701725
4,4, 01/01  05:00:00,4.4,86060.47295,14.22201293,23.20325863,22.69545197,13.355426,16.014612,5.862010017,5.72027475,4,4.4,120000.4889,19.83080555,32.6662167,34.19596963,19.841823,19.227758,3.4768115,3.366884
5,5, 01/01  06:00:00,4.4,82602.14662,13.65050362,20.87506803,23.24486098,12.930301,17.440931,6.238913033,6.7192805,5,4.4,119934.1637,19.81984492,32.66621825,34.2514094,19.834079,19.203149,3.47076925,3.3620995
6,6, 01/01  07:00:00,6.1,110331.7402,18.23298644,24.4252255,22.63464035,18.174562,10,5.387028767,5.55498625,6,6.1,138321.1029,22.85839766,35.13754692,36.81961626,18.810883,18.140657,3.34911925,3.23219475
7,7, 01/01  08:00:00,5,108207.8583,17.88200213,23.2238793,23.65432157,14.081661,16.900944,6.238913033,6.157633,7,5,137384.4056,22.70360279,35.16777003,36.90124905,18.868435,18.178798,3.3022915,3.18321025
8,8, 01/01  09:00:00,7.8,123365.1015,20.3868281,21.37102421,21.11667003,11.956076,10,6.157460267,6.79845575,8,7.8,160489.9745,26.5219376,38.32040953,40.18217852,17.601218,16.863034,3.15730475,3.029268
9,9, 01/01  10:00:00,8.9,119249.3438,19.70667429,26.16707666,28.65963671,17.324322,16.412201,5.853399017,5.59936075,9,8.9,160889.1518,26.58790405,38.5609898,40.44684351,17.504238,16.76375,3.069892,2.94052575
10,10, 01/01  11:00:00,9.4,128571.2451,21.24717479,26.6853884,22.89994165,16.172442,10,5.316381008,6.80189,10,9.4,162143.5586,26.79520235,38.77012972,40.67347357,17.402384,16.640552,3.05125675,2.918219
11,11, 01/01  12:00:00,10,120477.181,19.9095818,23.56672388,20.90293723,15.708174,13.015574,6.238913033,6.368872,11,10,164404.5274,27.16884109,38.86131073,40.82466496,17.36667,16.586824,3.0414335,2.90676225
12,12, 01/01  13:00:00,10.6,133059.7671,21.98893015,29.00582754,27.8159938,13.645817,16.267817,5.814067525,5.25944825,12,10.6,166219.1595,27.46872002,38.97203745,40.94640753,17.320717,16.53203,3.0341265,2.89629675
13,13, 01/01  14:00:00,11.1,124783.4892,20.62122525,22.55055105,24.58623043,15.205331,15.447834,5.054021758,5.9218355,13,11.1,166115.3925,27.45157189,39.06506405,41.0662775,17.282863,16.484514,3.02700725,2.8880805
14,14, 01/01  15:00:00,13.9,138405.7492,22.87238597,25.92662312,29.19128598,15.767472,18.225168,6.090535525,5.87983025,14,13.9,166050.4963,27.44084739,39.11760323,41.12415171,17.254498,16.452181,3.0210245,2.880743
15,15, 01/01  16:00:00,13.9,143681.8754,23.74429771,26.13574426,23.55244413,15.561746,10,5.562289017,6.01418175,15,13.9,157251.5434,25.9867673,39.05646129,41.06629018,17.265571,16.461032,3.0200235,2.87938425
16,16, 01/01  17:00:00,11.1,137715.8236,22.75837161,28.01826857,28.71916178,10,18.058057,6.206768275,5.46364825,16,11.1,154352.3809,25.50766318,38.97758302,40.96260259,17.306425,16.509722,3.02635375,2.88625325
17,17, 01/01  18:00:00,11.1,129004.8297,21.31882725,25.26273044,31.7855815,13.318179,19.191386,5.695251267,5.68182525,17,11.1,153991.1366,25.44796538,38.928006,40.89523119,17.326893,16.538608,3.03076025,2.89234675
18,18, 01/01  19:00:00,10.6,111012.2382,18.34544284,25.7561171,27.49867393,15.366092,20.342002,5.066643258,6.00754275,18,10.6,134623.0172,22.24726668,36.36984885,38.22945388,18.315771,17.568622,3.143327,3.01134725
19,19, 01/01  20:00:00,10.6,117205.6591,19.36894304,23.72129821,23.59597702,20.17485,10,6.234621775,5.595387,19,10.6,140352.2162,23.1940514,36.6572636,38.43326455,18.263467,17.545568,3.2061045,3.07855525
20,20, 01/01  21:00:00,8.9,106366.3526,17.57768218,22.26977958,20.98531274,14.100423,12.124751,5.159121267,4.88041775,20,8.9,139350.1614,23.02845581,36.49380224,38.27477206,18.278358,17.576087,3.1937765,3.07089225
21,21, 01/01  22:00:00,9.4,104648.7277,17.29383429,22.38896154,26.04269864,14.552535,15.64171,5.958056525,5.54683675,21,9.4,140602.8156,23.23546448,36.48923236,38.28508183,18.312682,17.590363,3.20468275,3.07877175
22,22, 01/01  23:00:00,7.8,107516.3322,17.76772326,27.48801898,24.13617177,21.669993,16.391079,6.174364525,5.29178475,22,7.8,139396.6966,23.03614602,36.46007106,38.23114736,18.306128,17.598949,3.20291825,3.07834475
23,23, 01/02  00:00:00,6.7,114075.7268,18.85170282,22.9154502,25.43972332,18.892972,16.388622,5.809848267,6.2380005,23,6.7,137943.7092,22.79603107,36.412248,38.19501904,18.334585,17.621258,3.2071925,3.0827365
24,24, 01/02  01:00:00,8.9,78099.22352,12.90636838,22.56310195,19.4861782,18.869255,15.97903,5.571848508,6.05081375,24,8.9,109002.6612,18.01334809,33.07993841,34.75324796,19.662541,18.993432,3.36389875,3.24647875
25,25, 01/02  02:00:00,6.1,86225.63798,14.24930745,21.86854115,23.83969002,12.855274,20.84015,5.763348517,5.5610445,25,6.1,116070.9481,19.18142521,33.32315542,34.88335023,19.568003,18.9335,3.43393225,3.320202
26,26, 01/02  03:00:00,5.6,85569.10269,14.14081103,22.58704752,22.06942543,18.55807,10.196566,6.238913033,5.65088275,26,5.6,113404.5096,18.74078013,33.07885386,34.68489602,19.653908,19.020215,3.43191575,3.322719
27,27, 01/02  04:00:00,3.9,81532.16646,13.47368293,21.37410585,22.45050928,15.594546,14.600013,5.658622267,5.18088525,27,3.9,117857.7943,19.47671233,33.11050215,34.69448336,19.658221,19.018627,3.441445,3.328875
28,28, 01/02  05:00:00,5.6,84239.58695,13.92110052,24.24157569,24.69734903,17.475864,14.292733,4.87701275,6.2480165,28,5.6,113684.0791,18.78698069,33.07937803,34.66859859,19.665705,19.03301,3.440535,3.330007
29,29, 01/02  06:00:00,7.2,77838.34869,12.86325724,27.40377485,19.725331,21.886045,15.887986,4.34139475,5.54516725,29,7.2,116451.1695,19.24425909,33.09085751,34.67958841,19.665076,19.027783,3.441759,3.33023375
30,30, 01/02  07:00:00,7.8,107772.5164,17.81005924,24.42018004,23.78739377,18.914891,16.611789,6.107169275,5.53195925,30,7.8,139140.5244,22.99381202,35.61205641,37.3043075,18.620666,17.946599,3.31742075,3.2000735
31,31, 01/02  08:00:00,7.2,105452.8597,17.42672196,26.17218518,23.95690905,13.265468,21.008366,5.352768258,5.7347085,31,7.2,135352.1658,22.36776288,35.56158251,37.30062545,18.697696,18.005544,3.27052225,3.1508905
32,32, 01/02  09:00:00,10.6,128853.2272,21.29377402,22.50355827,28.0323613,14.611614,15.554303,5.558822517,6.1364085,32,10.6,159976.254,26.43704217,38.65603623,40.5132287,17.455988,16.718967,3.13077975,3.0026375
33,33, 01/02  10:00:00,11.7,127632.4945,21.09204057,29.63919626,24.20923187,21.953587,15.283459,5.482704758,5.9007745,33,11.7,159082.8476,26.28940138,38.77376583,40.66816508,17.410041,16.66678,3.04999775,2.9206075
34,34, 01/02  11:00:00,13.9,134246.8576,22.18510402,22.36075807,28.36683996,12.611924,17.964576,6.073996525,6.1634135,34,13.9,161083.6972,26.62005385,39.02141052,40.92514938,17.314624,16.550552,3.03662325,2.90299575
35,35, 01/02  12:00:00,13.9,137362.8293,22.70003716,23.93030028,24.69015915,17.495517,10.105269,5.881321775,5.66468575,35,13.9,163620.5404,27.0392825,39.14845817,41.08862793,17.246858,16.475979,3.0217175,2.8878265
36,36, 01/02  13:00:00,13.9,137707.4371,22.75698568,27.00462961,22.54494166,16.491332,10,5.631625508,6.6241565,36,13.9,165446.5555,27.34104253,39.30050385,41.27876919,17.196257,16.405843,3.013647,2.87652775
37,37, 01/02  14:00:00,13.9,132963.9053,21.97308841,27.56281468,27.21373277,13.204056,12.87475,5.294275008,5.1206085,37,13.9,159866.4516,26.41889666,39.2618293,41.24714866,17.184749,16.395501,3.00623025,2.86807775
38,38, 01/02  15:00:00,12.2,130148.5462,21.50783331,25.52338222,25.52609083,17.614027,13.876117,6.161790775,5.89082925,38,12.2,156949.7525,25.93689452,39.22538139,41.23540266,17.206672,16.401832,3.01039725,2.87032
39,39, 01/02  16:00:00,12.8,133979.2153,22.14087451,23.18351743,23.04817237,11.399536,16.031161,5.514728258,6.00826775,39,12.8,154176.0544,25.47852416,39.13645047,41.12155503,17.233286,16.437071,3.013511,2.87347925
40,40, 01/02  17:00:00,11.1,127334.0523,21.0427212,23.49313715,22.64318989,16.013329,12.976936,5.5780935,5.57749275,40,11.1,154284.1679,25.49639056,39.07826367,41.0520641,17.26904,16.478553,3.02034975,2.88173025
41,41, 01/02  18:00:00,10.6,132428.7063,21.88464353,28.30244567,25.04308024,12.875645,12.111144,5.290319767,6.12354475,41,10.6,153923.2214,25.43674198,39.0041864,40.96089947,17.289277,16.504483,3.02370525,2.88592925
42,42, 01/02  19:00:00,11.7,104811.7928,17.32078179,21.25394874,23.49139466,11.652142,18.178922,5.777331517,5.85746675,42,11.7,134547.7444,22.23482739,36.40073278,38.25287389,18.300185,17.556291,3.1394495,3.008164
43,43, 01/02  20:00:00,11.7,115529.4889,19.09194579,24.11151099,21.8629345,23.583517,11.737331,6.048336267,6.43834075,43,11.7,140752.4755,23.26019667,36.70021072,38.46856489,18.250511,17.535758,3.20410425,3.07709075
44,44, 01/02  21:00:00,10,116415.3906,19.23834641,26.96093073,24.05413487,16.320597,20.604315,5.855392517,5.85398525,44,10,139338.6396,23.02655175,36.54931074,38.32290009,18.253674,17.555187,3.18995425,3.06767075
45,45, 01/02  22:00:00,8.9,105522.103,17.43816484,22.61941017,19.72202591,17.76044,11.806551,5.621084508,6.16705025,45,8.9,137727.9362,22.76037328,36.45622078,38.24350685,18.316664,17.597262,3.2029115,3.0774765
46,46, 01/02  23:00:00,9.4,101551.9241,16.7820688,20.25556176,22.18737196,13.25793,15.69214,5.820315525,5.893103,46,9.4,138009.1317,22.80684253,36.44170889,38.20750384,18.319642,17.614052,3.205623,3.08148975
47,47, 01/03  00:00:00,8.9,99329.16269,16.41474405,22.96357396,20.81634093,19.691439,10,6.157628017,5.85021,47,8.9,138036.9619,22.81144165,36.40451871,38.18005522,18.335965,17.625712,3.20773225,3.083746
48,48, 01/03  01:00:00,9.4,82651.585,13.65867361,23.79860561,21.44735658,14.069666,18.373644,6.041671017,5.1536375,48,9.4,109035.2029,18.01872581,33.11103249,34.78346854,19.655094,18.986824,3.36371,3.246624
49,49, 01/03  02:00:00,10,89399.89237,14.77387216,22.33734757,23.39945218,16.974876,15.361259,5.397191275,6.00758475,49,10,117471.1915,19.41282389,33.43660637,34.99368846,19.531249,18.896394,3.4297395,3.31597275
50,50, 01/03  03:00:00,12.2,77293.49475,12.77321683,26.35683182,23.65750181,21.428907,17.727564,5.761335017,5.89596125,50,12.2,113266.1355,18.71791298,33.18753401,34.79907233,19.606447,18.972913,3.42349025,3.31461775
51,51, 01/03  04:00:00,13.9,86657.34788,14.32065012,25.40773873,21.69458394,17.50879,24.608916,5.250242508,5.78527525,51,13.9,117578.5192,19.43056044,33.2987703,34.88771473,19.593104,18.948985,3.4323065,3.3190375
