,Unnamed: 0.1,Unnamed: 0,index,Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Whole Building:Facility Total Electricity Demand Rate [W](Hourly),Site:Environmental Impact Total CO2 Emissions Carbon Equivalent Mass [kg](Hourly),WEST ZONE:Zone Air Temperature [C](TimeStep),EAST ZONE:Zone Air Temperature [C](TimeStep),WEST ZONE DEC OUTLET NODE:System Node Setpoint Temperature [C](TimeStep),EAST AIR LOOP OUTLET NODE:System Node Setpoint Temperature [C](TimeStep),WEST ZONE SUPPLY FAN:Fan Air Mass Flow Rate [kg/s](Hourly),EAST ZONE SUPPLY FAN:Fan Air Mass Flow Rate [kg/s](Hourly)
0,0,0,3,1/1/2022 1:00,7.2,80084.11933,13.2343844,20.19441763,27.20651079,13.870208,21.611385,6.074455767,5.71280025
1,1,1,7,1/1/2022 2:00,7.2,84542.8758,13.97122084,22.66644075,24.87867274,22.069186,12.138605,5.857178775,5.57817775
2,2,2,11,1/1/2022 3:00,6.7,92557.73679,15.29572502,22.5836776,21.52072049,20.294016,10,5.889803258,5.7322665
3,3,3,15,1/1/2022 4:00,6.1,84529.16219,13.96895458,25.25456176,22.95124737,19.723627,16.387936,5.732396775,5.6456015
4,4,4,19,1/1/2022 5:00,4.4,86060.47295,14.22201293,23.20325863,22.69545197,13.355426,16.014612,5.862010017,5.72027475
5,5,5,23,1/1/2022 6:00,4.4,82602.14662,13.65050362,20.87506803,23.24486098,12.930301,17.440931,6.238913033,6.7192805
6,6,6,27,1/1/2022 7:00,6.1,110331.7402,18.23298644,24.4252255,22.63464035,18.174562,10,5.387028767,5.55498625
7,7,7,31,1/1/2022 8:00,5,108207.8583,17.88200213,23.2238793,23.65432157,14.081661,16.900944,6.238913033,6.157633
8,8,8,35,1/1/2022 9:00,7.8,123365.1015,20.3868281,21.37102421,21.11667003,11.956076,10,6.157460267,6.79845575
9,9,9,39,1/1/2022 10:00,8.9,119249.3438,19.70667429,26.16707666,28.65963671,17.324322,16.412201,5.853399017,5.59936075
10,10,10,43,1/1/2022 11:00,9.4,128571.2451,21.24717479,26.6853884,22.89994165,16.172442,10,5.316381008,6.80189
11,11,11,47,1/1/2022 12:00,10,120477.181,19.9095818,23.56672388,20.90293723,15.708174,13.015574,6.238913033,6.368872
12,12,12,51,1/1/2022 13:00,10.6,133059.7671,21.98893015,29.00582754,27.8159938,13.645817,16.267817,5.814067525,5.25944825
