,Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Whole Building:Facility Total Electricity Demand Rate [W](Hourly),Site:Environmental Impact Total CO2 Emissions Carbon Equivalent Mass [kg](Hourly),WEST ZONE:Zone Air Temperature [C](TimeStep),EAST ZONE:Zone Air Temperature [C](TimeStep),WEST ZONE DEC OUTLET NODE:System Node Setpoint Temperature [C](TimeStep),EAST AIR LOOP OUTLET NODE:System Node Setpoint Temperature [C](TimeStep),WEST ZONE SUPPLY FAN:Fan Air Mass Flow Rate [kg/s](Hourly),EAST ZONE SUPPLY FAN:Fan Air Mass Flow Rate [kg/s](Hourly)
0, 01/01  01:00:00,7.2,108964.97948293212,18.00712097015439,32.14142477053673,33.53287586314402,19.891821,19.275758,3.825774249999999,3.772802249999999
1, 01/01  02:00:00,7.2,114802.62015349128,18.97182634828477,32.1296666327497,33.52066304631277,20.132262,19.589606,3.52720375,3.43498175
2, 01/01  03:00:00,6.7,119371.94160953986,19.726934316010095,32.57358858479148,33.976694286276576,19.871374,19.303795,3.490602,3.39055975
3, 01/01  04:00:00,6.1,117073.45567471327,19.347095633223912,32.513705073082576,34.11306225792635,19.903199,19.274378,3.48076225,3.37701725
4, 01/01  05:00:00,4.4,120000.4888795141,19.830805548580365,32.666216701187395,34.195969634818375,19.841823,19.227758,3.4768115,3.366884
5, 01/01  06:00:00,4.4,119934.1637416792,19.81984491897237,32.66621825003467,34.251409395463405,19.834079,19.203149,3.47076925,3.3620995
6, 01/01  07:00:00,6.1,138321.10288259102,22.85839766272916,35.13754691640722,36.81961625644052,18.810883,18.140657,3.34911925,3.232194750000001
7, 01/01  08:00:00,5.0,137384.40563736178,22.703602785629265,35.16777003393835,36.90124905168936,18.868435,18.178798,3.3022915,3.18321025
8, 01/01  09:00:00,7.8,160489.97453912804,26.52193759625081,38.32040953167055,40.182178518063054,17.601218,16.863034,3.15730475,3.029268
9, 01/01  10:00:00,8.9,160889.1518196997,26.587904052757303,38.56098979889159,40.4468435088818,17.504238,16.76375,3.0698919999999994,2.94052575
10, 01/01  11:00:00,9.4,162143.55857997638,26.795202346073825,38.77012971971432,40.673473573066296,17.402384,16.640552,3.0512567500000003,2.918219
11, 01/01  12:00:00,10.0,164404.5273508639,27.16884109092845,38.861310725993626,40.82466496216463,17.36667,16.586824,3.0414335,2.90676225
12, 01/01  13:00:00,10.6,166219.1595192893,27.468720016508275,38.97203745422684,40.94640753298989,17.320717,16.53203,3.0341265,2.8962967500000003
13, 01/01  14:00:00,11.1,166115.39250427118,27.451571890559823,39.06506405319613,41.066277500986224,17.282863,16.484514,3.0270072500000005,2.8880805
14, 01/01  15:00:00,13.9,166050.49626127462,27.440847394453897,39.11760322961034,41.12415171408343,17.254498,16.452181,3.0210245,2.8807430000000003
15, 01/01  16:00:00,13.9,157251.54343137937,25.98676729669713,39.05646129016839,41.06629017775287,17.265571,16.461032,3.0200235,2.87938425
16, 01/01  17:00:00,11.1,154352.38090556415,25.50766317937225,38.97758302230766,40.962602586113626,17.306425,16.509722,3.02635375,2.88625325
17, 01/01  18:00:00,11.1,153991.13664825103,25.447965384061515,38.92800599649239,40.89523119400592,17.326893,16.538608,3.03076025,2.89234675
18, 01/01  19:00:00,10.6,134623.0172479728,22.247266676456725,36.369848850321446,38.22945387668096,18.315771,17.568622,3.143327,3.01134725
19, 01/01  20:00:00,10.6,140352.21615516822,23.19405139824069,36.65726359821658,38.43326455069408,18.263467,17.545568,3.2061045,3.07855525
20, 01/01  21:00:00,8.9,139350.16144332144,23.028455805045876,36.49380223829981,38.27477205895586,18.278358,17.576087,3.1937765,3.0708922500000004
21, 01/01  22:00:00,9.4,140602.8156458781,23.235464477614315,36.489232356710325,38.28508183043112,18.312682,17.590363,3.20468275,3.07877175
