,Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Whole Building:Facility Total Electricity Demand Rate [W](Hourly),Site:Environmental Impact Total CO2 Emissions Carbon Equivalent Mass [kg](Hourly),WEST ZONE:Zone Air Temperature [C](TimeStep),EAST ZONE:Zone Air Temperature [C](TimeStep),WEST ZONE DEC OUTLET NODE:System Node Setpoint Temperature [C](TimeStep),EAST AIR LOOP OUTLET NODE:System Node Setpoint Temperature [C](TimeStep),WEST ZONE SUPPLY FAN:Fan Air Mass Flow Rate [kg/s](Hourly),EAST ZONE SUPPLY FAN:Fan Air Mass Flow Rate [kg/s](Hourly),Site:Environmental Impact Electricity CO Emissions Mass [kg](Hourly),CH4:Facility [kg](Hourly),PM2.5:Facility [kg](Hourly),SO2:Facility [kg](Hourly),NOx:Facility [kg](Hourly),Reward
0, 01/01  01:00:00,7.2,73944.5819,12.21978876,18.74064035,22.15769344,15.817457,15.457001,6.238913033,6.475,0.011196819,0.000372302,0.003071341,0.230458021,0.109342652,-0.525761542
1, 01/01  02:00:00,7.2,83487.49945,13.79681352,19.69262318,22.28718949,15.998413,15.655338,6.238913033,6.475,0.012641824,0.00042035,0.003467713,0.260199779,0.123453867,-0.515859645
2, 01/01  03:00:00,6.7,84827.97981,14.01833599,19.70668216,22.21003719,15.927632,15.61203,6.238913033,6.475,0.012844802,0.000427099,0.003523391,0.264377562,0.12543605,-0.517520263
3, 01/01  04:00:00,6.1,85895.51227,14.19475218,20.14287767,22.2637784,15.948558,15.591148,6.238913033,6.475,0.01300645,0.000432474,0.003567732,0.267704668,0.127014622,-0.533871658
4, 01/01  05:00:00,4.4,83260.20446,13.75925165,20.93030214,22.25973615,15.945735,15.598265,6.238913033,6.475,0.012607407,0.000419205,0.003458273,0.259491384,0.123117764,-0.541657158
5, 01/01  06:00:00,4.4,84664.08657,13.99125165,20.26966878,22.25272545,15.948304,15.597633,6.238913033,6.475,0.012819985,0.000426274,0.003516584,0.263866768,0.125193699,-0.49123328
6, 01/01  07:00:00,6.1,106247.6295,17.55806247,21.93642014,23.28008399,15.479811,15.134183,6.238913033,6.475,0.016088203,0.000534944,0.004413072,0.33113472,0.157109517,0.422317193
7, 01/01  08:00:00,5,108770.837,17.97503776,21.8332708,23.55161822,15.453243,15.094966,6.238913033,6.475,0.016470272,0.000547648,0.004517875,0.338998628,0.160840611,0.570336884
8, 01/01  09:00:00,7.8,129286.3285,21.36534663,23.591722,24.62547529,14.96576,14.610281,6.238913033,6.475,0.019576763,0.000650941,0.005370001,0.402937857,0.19117709,0.172756951
9, 01/01  10:00:00,8.9,132194.4407,21.84592974,23.02753474,24.93590229,14.896346,14.534622,6.238913033,6.475,0.020017115,0.000665583,0.005490791,0.412001371,0.195477347,-0.230560838
