Date/Time,Electricity:Facility [J](Hourly),CO2:Facility [kg](Hourly),CO:Facility [kg](Hourly),CH4:Facility [kg](Hourly),NOx:Facility [kg](Hourly),N2O:Facility [kg](Hourly),SO2:Facility [kg](Hourly),PM:Facility [kg](Hourly),PM10:Facility [kg](Hourly),PM2.5:Facility [kg](Hourly),NH3:Facility [kg](Hourly),NMVOC:Facility [kg](Hourly),Hg:Facility [kg](Hourly),Pb:Facility [kg](Hourly),WaterEnvironmentalFactors:Facility [L](Hourly),Nuclear High:Facility [kg](Hourly),Nuclear Low:Facility [m3](Hourly),Carbon Equivalent:Facility [kg](Hourly) 
 01/01  01:00:00,702594380.4988809,118.26993929356277,0.02955224379479172,0.0009826330434893635,0.28859274957305675,0.0016996882215276727,0.6082577356236765,0.02078463877998424,0.012678315596102302,0.008106323183881936,0.0007787345335135444,0.002615983708799093,0.0000023636258592115046,0.0,1475.9681188892189,0.0,0.0,32.395587278643376 
 01/01  02:00:00,718048550.8692294,120.87138878172365,0.03020227092724118,0.001004246906177585,0.2949405964151886,0.0017370743323208053,0.6216368899925689,0.021241814865799156,0.012957186100435246,0.008284628765363908,0.000795863472326928,0.0026735245304224196,0.00000241561585192121,0.0,1508.4333127530251,0.0,0.0,33.10815620738455 
 01/01  03:00:00,715006467.6136266,120.3593052639041,0.030074316038177316,0.0009999923154621305,0.29369105159169995,0.001729715046192181,0.6190032642136125,0.021151821829473633,0.01290229170808789,0.00824953012138574,0.0007924917185089153,0.002662197880995168,0.000002405381857957706,0.0,1502.04268677465,0.0,0.0,32.96789024974081 
 01/01  04:00:00,712068461.671576,119.86474141019988,0.029950738807445157,0.0009958832849877094,0.29248425683698487,0.0017226075397374098,0.6164597413913953,0.021064907681091732,0.012849275390863587,0.008215632290228142,0.0007892353208629247,0.0026512587447110126,0.0000023954979946478154,0.0,1495.8707001719467,0.0,0.0,32.83242314302514 
 01/01  05:00:00,709523983.7922251,119.43642138277389,0.029843713996675056,0.0009923246342041624,0.2914391049146078,0.0017164520406307993,0.6142569080124268,0.020989635155330262,0.0128033602875307,0.008186274867799555,0.0007864150979157886,0.0026417848393332677,0.000002386938014834776,0.0,1490.525413711679,0.0,0.0,32.71510103298982 
 01/01  06:00:00,707272027.0533497,119.0573423662161,0.029748993093107173,0.0009891750970522197,0.29051410692824453,0.0017110041969663815,0.6123073192529235,0.02092301619471113,0.012762723728177692,0.008160292466533433,0.0007839190966251212,0.002633400083768278,0.0000023793621170912557,0.0,1485.7946381120537,0.0,0.0,32.611266639907754 
 01/01  07:00:00,807131512.8122833,135.8670061585873,0.03394924283930514,0.0011288363769259774,0.33153169028218377,0.0019525802705349638,0.6987587717184909,0.023877129404071933,0.01456468814869765,0.009312441255374282,0.0008946003548557506,0.0030052089042842314,0.000002715303407512315,0.0,1695.5734542252762,0.0,0.0,37.21563976940382 
 01/01  08:00:00,819241059.6650119,137.9054445675706,0.03445858975520586,0.0011457725227441728,0.33650572298058257,0.00198187520189921,0.7092423818248504,0.024235362495752148,0.014783204921655139,0.009452157574097007,0.0009080222133009094,0.003050296622271932,0.0000027560416184614533,0.0,1721.0124636806772,0.0,0.0,37.77399305667868 
 01/01  09:00:00,899234375.7281994,151.37097303929886,0.037823236618129225,0.0012576494147371936,0.369363217533485,0.002175391832386631,0.7784950753335498,0.026601780766854603,0.016226684310015355,0.010375096456839246,0.0009966844050258643,0.0033481373358363194,0.000003025150332762265,0.0,1889.0576224672577,0.0,0.0,41.46236649683206 
 01/01  10:00:00,902637804.1201096,151.9438829293771,0.03796639026177839,0.0012624093748106943,0.37076118595574736,0.002183625270215204,0.7814415287987065,0.026702463367943963,0.016288099175347376,0.010414364192596587,0.0010004566629526058,0.003360809388836486,0.0000030365999423526256,0.0,1896.207340627279,0.0,0.0,41.619293544040225 
 01/01  11:00:00,892691593.3483465,150.26960574067806,0.03754803672278081,0.0012484988232419436,0.3666757500426133,0.002159563794964586,0.7728307858010572,0.026408227598546125,0.016108619801970907,0.010299607796575216,0.0009894325813195068,0.003323776463345765,0.0000030031394968469057,0.0,1875.3129378106053,0.0,0.0,41.16068848244032 
