,Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Whole Building:Facility Total Electricity Demand Rate [W](Hourly),Site:Environmental Impact Total CO2 Emissions Carbon Equivalent Mass [kg](Hourly),WEST ZONE:Zone Air Temperature [C](TimeStep),EAST ZONE:Zone Air Temperature [C](TimeStep),WEST ZONE DEC OUTLET NODE:System Node Setpoint Temperature [C](TimeStep),EAST AIR LOOP OUTLET NODE:System Node Setpoint Temperature [C](TimeStep),WEST ZONE SUPPLY FAN:Fan Air Mass Flow Rate [kg/s](Hourly),EAST ZONE SUPPLY FAN:Fan Air Mass Flow Rate [kg/s](Hourly),Site:Environmental Impact Electricity CO Emissions Mass [kg](Hourly),CH4:Facility [kg](Hourly),PM2.5:Facility [kg](Hourly),SO2:Facility [kg](Hourly),NOx:Facility [kg](Hourly),Reward
0, 01/01  01:00:00,7.2,62866.04303603355,10.388993300752247,18.745115759186564,20.00487604736118,14.0,14.0,6.2389130330022144,6.475,0.0095192868807519,0.000316523033054,0.0026111863610526,0.1959302962930621,0.0929606967906476,-1.3996556337760775
1, 01/01  02:00:00,7.2,67830.5514693317,11.209408303260036,18.735809256462822,20.05496473699028,14.0,14.0,6.2389130330022144,6.475,0.0102710214852567,0.0003415187412463,0.0028173907932757,0.2114028401547455,0.1003017690276566,-1.397106950955943
2, 01/01  03:00:00,6.7,67905.49286715305,11.22179282187001,18.700871252871515,20.05502721179325,14.0,14.0,6.2389130330022144,6.475,0.0102823692436117,0.0003418960622513,0.002820503538192,0.2116364048833438,0.1004125856819821,-1.400872456308142
3, 01/01  04:00:00,6.1,67910.14753726663,11.222562034218868,18.66591109019895,20.03703598098384,14.0,14.0,6.2389130330022144,6.475,0.0102830740619525,0.0003419194979605,0.0028206968732665,0.2116509117753073,0.1004194685929495,-1.4062654213155563
4, 01/01  05:00:00,4.4,67904.3542458006,11.22160465781464,18.647754629745588,20.028850465267343,14.0,14.0,6.2389130330022144,6.475,0.0102821968315625,0.0003418903294285,0.0028204562447343,0.2116328562200563,0.1004109019902911,-1.4092205798649324
5, 01/01  06:00:00,4.4,67918.76107346431,11.223985473098296,18.627896372817883,20.014271312986224,14.0,14.0,6.2389130330022144,6.475,0.0102843783387634,0.0003419628660885,0.0028210546426943,0.2116777569944087,0.1004322055219512,-1.4125906683283953
6, 01/01  07:00:00,6.1,94336.67990230542,15.589706114611152,20.42253860096817,21.809348247932608,14.0,14.0,6.2389130330022144,6.475,0.0142846261033637,0.0004749739383758,0.0039183419221517,0.29401267762261,0.1394966674076819,-1.0736122324577748
7, 01/01  08:00:00,5.0,94578.8442296788,15.62972523229796,20.492911122255254,21.890501606462056,14.0,14.0,6.2389130330022144,6.475,0.0143212950520238,0.0004761932068982,0.0039284003918475,0.2947674146176946,0.1398547584139437,-1.02310101742877
8, 01/01  09:00:00,7.8,121160.7747942814,20.022549803719272,22.410439039339536,23.824103754332675,14.0,14.0,6.2389130330022144,6.475,0.0183463777623137,0.0006100300587248,0.0050325000168383,0.3776134994043408,0.1791617462246716,0.2284957190070695
9, 01/01  10:00:00,8.9,122017.13286242278,20.164068146584697,22.5995982682982,24.02240603854213,14.0,14.0,6.2389130330022144,6.475,0.0184760490081818,0.00061434171952,0.0050680694657763,0.3802824520204253,0.1804280521486994,0.2758330925072987
10, 01/01  11:00:00,9.4,122250.6707510732,20.202661693171848,22.67551824767423,24.105266486798943,14.0,14.0,6.2389130330022144,6.475,0.018511411726308,0.0006155175549517,0.0050777696301287,0.3810103035839904,0.180773387146856,0.2784012475477191
11, 01/01  12:00:00,10.0,122409.48613040008,20.228906893795305,22.721359840323466,24.16017694628399,14.0,14.0,6.2389130330022144,6.475,0.0185354598305607,0.0006163171714558,0.0050843661412561,0.3815052726137665,0.1810082291634727,0.274341031156107
12, 01/01  13:00:00,10.6,122465.71911188036,20.238199733612586,22.75269588287597,24.20016628280037,14.0,14.0,6.2389130330022144,6.475,0.0185439747275865,0.0006166002978145,0.0050867018186297,0.3816805301008102,0.1810913814805039,0.2693213991037093
13, 01/01  14:00:00,11.1,122440.828076175,20.234086339629076,22.783394594419104,24.238154442874837,14.0,14.0,6.2389130330022144,6.475,0.0185402056831518,0.0006164749744168,0.0050856679515401,0.3816029539123742,0.1810545748371832,0.2649884294425266
14, 01/01  15:00:00,13.9,122786.36527492949,20.29118844864782,22.798977951811025,24.25559417377021,14.0,14.0,6.2389130330022144,6.475,0.0185925275339327,0.0006182147130245,0.0051000200878771,0.3826798660649879,0.1815655244247832,0.2529720769692909
15, 01/01  16:00:00,13.9,123601.05372910094,20.425820636134727,22.767435406358956,24.220385294115854,14.0,14.0,6.2389130330022144,6.475,0.018715889093515,0.0006223165722804,0.0051338587593968,0.3852189498454138,0.1827702130406018,0.2547283029834037
16, 01/01  17:00:00,11.1,122636.98697923444,20.266502783091237,22.71888123990407,24.16459248361548,14.0,14.0,6.2389130330022144,6.475,0.0185699084094927,0.0006174626111115,0.0050938155528131,0.3822143089482707,0.1813446371256533,0.2681343239830105
